iter	Passed	Remaining
0	23	4619
1	44	4409
2	66	4394
3	87	4280
4	110	4303
5	132	4291
6	155	4277
7	177	4253
8	207	4395
9	234	4455
10	259	4453
11	280	4398
12	301	4330
13	321	4272
14	345	4260
15	365	4206
16	385	4154
17	406	4107
18	426	4062
19	450	4053
20	474	4044
21	495	4005
22	515	3965
23	532	3906
24	551	3858
25	569	3814
26	589	3777
27	607	3732
28	625	3690
29	651	3689
30	674	3675
31	698	3668
32	721	3651
33	746	3644
34	771	3638
35	793	3616
36	814	3588
37	844	3598
38	866	3576
39	890	3563
40	911	3533
41	931	3503
42	950	3470
43	966	3427
44	992	3417
45	1015	3399
46	1032	3362
47	1050	3327
48	1067	3290
49	1085	3256
50	1103	3222
51	1120	3188
52	1138	3156
53	1155	3124
54	1176	3100
55	1201	3088
56	1220	3061
57	1239	3034
58	1258	3008
59	1275	2976
60	1292	2946
61	1309	2915
62	1326	2884
63	1342	2853
64	1359	2823
65	1380	2803
66	1401	2782
67	1421	2760
68	1440	2735
69	1460	2711
70	1479	2688
71	1498	2663
72	1515	2635
73	1532	2609
74	1550	2584
75	1572	2565
76	1590	2541
77	1608	2516
78	1626	2491
79	1643	2465
80	1660	2439
81	1682	2421
82	1699	2395
83	1715	2368
84	1731	2343
85	1753	2325
86	1774	2304
87	1794	2283
88	1813	2261
89	1832	2239
90	1851	2217
91	1871	2196
92	1888	2172
93	1905	2148
94	1923	2125
95	1940	2101
96	1961	2083
97	1980	2060
98	1996	2037
99	2013	2013
100	2029	1989
101	2047	1966
102	2063	1943
103	2080	1920
104	2097	1897
105	2113	1874
106	2130	1851
107	2154	1835
108	2179	1819
109	2200	1800
110	2219	1779
111	2238	1758
112	2255	1736
113	2271	1713
114	2287	1690
115	2305	1669
116	2325	1649
117	2344	1629
118	2367	1611
119	2385	1590
120	2402	1568
121	2419	1546
122	2435	1524
123	2453	1503
124	2469	1481
125	2487	1461
126	2507	1441
127	2529	1423
128	2547	1402
129	2564	1380
130	2581	1359
131	2598	1338
132	2614	1316
133	2632	1296
134	2650	1276
135	2675	1259
136	2693	1238
137	2714	1219
138	2734	1199
139	2753	1180
140	2772	1160
141	2790	1139
142	2807	1118
143	2824	1098
144	2843	1078
145	2860	1057
146	2877	1037
147	2898	1018
148	2916	998
149	2934	978
150	2951	957
151	2967	937
152	2984	916
153	3001	896
154	3017	876
155	3034	855
156	3051	835
157	3069	815
158	3086	795
159	3106	776
160	3126	757
161	3144	737
162	3162	717
163	3180	698
164	3196	678
165	3215	658
166	3234	639
167	3253	619
168	3273	600
169	3300	582
170	3317	562
171	3334	542
172	3350	522
173	3367	503
174	3385	483
175	3402	463
176	3419	444
177	3436	424
178	3452	405
179	3469	385
180	3490	366
181	3507	346
182	3524	327
183	3541	307
184	3557	288
185	3573	268
186	3591	249
187	3608	230
188	3624	210
189	3642	191
190	3659	172
191	3682	153
192	3700	134
193	3717	114
194	3735	95
195	3752	76
196	3769	57
197	3786	38
198	3802	19
199	3819	0
